Wafer_ID Layer Condition
HFBCM227MMC4 NDT TCX369
HFBCM228MMG6 NDT TCX369
HFBCM229MMD5 NDT TCX369
HFBCM230MMG6 NDT TCX369
HFBCM227MMC4 PDT TCX369
HFBCM228MMG6 PDT TCX369
HFBCM229MMD5 PDT TCX369
HFBCM230MMG6 PDT TCX369
HFBCM157MMC1 NDT POR
HFBCM223MMA2 NDT POR
HFBCM225MMB3 NDT POR
HFBCM226MMB4 NDT POR
HFBCM274MME7 NDT POR
HFBCM275MMB6 NDT POR
HFBCM276MMG0 NDT POR
HFBCM277MMC7 NDT POR
HFBCM278MMH1 NDT POR
HFBCM279MME0 NDT POR
HFBCM280MMH1 NDT POR
HFBCM281MME0 NDT POR
HFBCM282MMA7 NDT POR
HFBCM283MMF1 NDT POR
HFBCM284MMC0 NDT POR
HFBCM285MMG2 NDT POR
HFBCM157MMC1 PDT POR
HFBCM223MMA2 PDT POR
HFBCM225MMB3 PDT POR
HFBCM226MMB4 PDT POR
HFBCM274MME7 PDT POR
HFBCM275MMB6 PDT POR
HFBCM276MMG0 PDT POR
HFBCM277MMC7 PDT POR
HFBCM278MMH1 PDT POR
HFBCM279MME0 PDT POR
HFBCM280MMH1 PDT POR
HFBCM281MME0 PDT POR
HFBCM282MMA7 PDT POR
HFBCM283MMF1 PDT POR
HFBCM284MMC0 PDT POR
HFBCM285MMG2 PDT POR
