X,Y,LOT,WAFER,TEST_END_DATE,WAFER_ID,OPERATION,PRODUCT,PROGRAM,PCD5V_RDSON,VTE_P10L05WONT,X5PLDG2_HS_RDSON
0,3,W5089870,77,07/06/2025 1:28:30 PM,EHNHD077PLE1,6005,8TQV01A,5051_8TQV01A_PCM_18P7,4.663033,-0.6885657,2.301109
3,2,W5089870,77,07/06/2025 1:28:30 PM,EHNHD077PLE1,6005,8TQV01A,5051_8TQV01A_PCM_18P7,4.724323,-0.6862623,2.32889
-2,2,W5089870,77,07/06/2025 1:28:30 PM,EHNHD077PLE1,6005,8TQV01A,5051_8TQV01A_PCM_18P7,4.684012,-488.65,2.320661
-4,0,W5089870,77,07/06/2025 1:28:30 PM,EHNHD077PLE1,6005,8TQV01A,5051_8TQV01A_PCM_18P7,4.585159,-0.6896156,2.262349
0,0,W5089870,77,07/06/2025 1:28:30 PM,EHNHD077PLE1,6005,8TQV01A,5051_8TQV01A_PCM_18P7,4.702767,-0.6852014,2.380288
5,0,W5089870,77,07/06/2025 1:28:30 PM,EHNHD077PLE1,6005,8TQV01A,5051_8TQV01A_PCM_18P7,4.639799,-0.6962663,2.298826
3,-2,W5089870,77,07/06/2025 1:28:30 PM,EHNHD077PLE1,6005,8TQV01A,5051_8TQV01A_PCM_18P7,4.722241,-0.6981149,2.339751
-2,-2,W5089870,77,07/06/2025 1:28:30 PM,EHNHD077PLE1,6005,8TQV01A,5051_8TQV01A_PCM_18P7,4.669123,-0.6937358,2.304673
0,-3,W5089870,77,07/06/2025 1:28:30 PM,EHNHD077PLE1,6005,8TQV01A,5051_8TQV01A_PCM_18P7,4.66638,-0.6889486,2.314231
0,3,W5089870,83,07/06/2025 2:41:08 PM,EHNHD083PLG3,6005,8TQV01A,5051_8TQV01A_PCM_18P7,4.68162,-0.6930892,2.316487
3,2,W5089870,83,07/06/2025 2:41:08 PM,EHNHD083PLG3,6005,8TQV01A,5051_8TQV01A_PCM_18P7,4.757733,-0.7050234,2.332843
-2,2,W5089870,83,07/06/2025 2:41:08 PM,EHNHD083PLG3,6005,8TQV01A,5051_8TQV01A_PCM_18P7,4.702514,-0.6977925,2.322394
-4,0,W5089870,83,07/06/2025 2:41:08 PM,EHNHD083PLG3,6005,8TQV01A,5051_8TQV01A_PCM_18P7,4.611108,-0.6969943,2.283138
0,0,W5089870,83,07/06/2025 2:41:08 PM,EHNHD083PLG3,6005,8TQV01A,5051_8TQV01A_PCM_18P7,4.739275,-0.7015699,2.400288
5,0,W5089870,83,07/06/2025 2:41:08 PM,EHNHD083PLG3,6005,8TQV01A,5051_8TQV01A_PCM_18P7,4.651492,-0.6960749,2.303666
3,-2,W5089870,83,07/06/2025 2:41:08 PM,EHNHD083PLG3,6005,8TQV01A,5051_8TQV01A_PCM_18P7,4.7339,-0.6974941,2.330968
-2,-2,W5089870,83,07/06/2025 2:41:08 PM,EHNHD083PLG3,6005,8TQV01A,5051_8TQV01A_PCM_18P7,4.685303,-0.6960473,2.30617
0,-3,W5089870,83,07/06/2025 2:41:08 PM,EHNHD083PLG3,6005,8TQV01A,5051_8TQV01A_PCM_18P7,4.669895,-0.7030485,2.325285
0,3,W433937A,264,08/06/2025 3:53:21 AM,IC41A264MMF3,6005,8TQV01BA,5051_8TQV01BA_PCM_18P7,4.752001,-0.7180632,2.464801
3,2,W433937A,264,08/06/2025 3:53:21 AM,IC41A264MMF3,6005,8TQV01BA,5051_8TQV01BA_PCM_18P7,4.769631,-0.7147597,2.474872
-2,2,W433937A,264,08/06/2025 3:53:21 AM,IC41A264MMF3,6005,8TQV01BA,5051_8TQV01BA_PCM_18P7,4.75605,-0.7154759,2.455763
-4,0,W433937A,264,08/06/2025 3:53:21 AM,IC41A264MMF3,6005,8TQV01BA,5051_8TQV01BA_PCM_18P7,4.67255,-0.7166093,2.447618
0,0,W433937A,264,08/06/2025 3:53:21 AM,IC41A264MMF3,6005,8TQV01BA,5051_8TQV01BA_PCM_18P7,4.814821,-0.7178017,2.483514
5,0,W433937A,264,08/06/2025 3:53:21 AM,IC41A264MMF3,6005,8TQV01BA,5051_8TQV01BA_PCM_18P7,4.715872,-0.7224463,2.484074
3,-2,W433937A,264,08/06/2025 3:53:21 AM,IC41A264MMF3,6005,8TQV01BA,5051_8TQV01BA_PCM_18P7,4.776632,-0.7202703,2.482497
-2,-2,W433937A,264,08/06/2025 3:53:21 AM,IC41A264MMF3,6005,8TQV01BA,5051_8TQV01BA_PCM_18P7,4.761224,-0.7230913,2.470133
0,-3,W433937A,264,08/06/2025 3:53:21 AM,IC41A264MMF3,6005,8TQV01BA,5051_8TQV01BA_PCM_18P7,4.747328,-0.7202342,2.487101
0,3,W4529770,250,07/13/2025 4:49:48 AM,GHFNA250PLG3,6005,8TQV01A,5051_8TQV01A_PCM_18P7,4.678628,-0.7016752,2.408108
3,2,W4529770,250,07/13/2025 4:49:48 AM,GHFNA250PLG3,6005,8TQV01A,5051_8TQV01A_PCM_18P7,4.709531,-0.6939265,2.452544
-2,2,W4529770,250,07/13/2025 4:49:48 AM,GHFNA250PLG3,6005,8TQV01A,5051_8TQV01A_PCM_18P7,4.677241,-0.6986171,2.399374
-4,0,W4529770,250,07/13/2025 4:49:48 AM,GHFNA250PLG3,6005,8TQV01A,5051_8TQV01A_PCM_18P7,4.566129,-0.6869473,2.373169
0,0,W4529770,250,07/13/2025 4:49:48 AM,GHFNA250PLG3,6005,8TQV01A,5051_8TQV01A_PCM_18P7,4.643793,-0.6914512,2.44171
5,0,W4529770,250,07/13/2025 4:49:48 AM,GHFNA250PLG3,6005,8TQV01A,5051_8TQV01A_PCM_18P7,4.633165,-0.6857538,2.408484
3,-2,W4529770,250,07/13/2025 4:49:48 AM,GHFNA250PLG3,6005,8TQV01A,5051_8TQV01A_PCM_18P7,4.671995,-0.6997074,2.424275
-2,-2,W4529770,250,07/13/2025 4:49:48 AM,GHFNA250PLG3,6005,8TQV01A,5051_8TQV01A_PCM_18P7,4.663743,-0.6950057,2.39243
0,-3,W4529770,250,07/13/2025 4:49:48 AM,GHFNA250PLG3,6005,8TQV01A,5051_8TQV01A_PCM_18P7,4.683144,-0.6996174,2.402865
0,3,W5169080,41,07/13/2025 5:31:37 AM,HFBPJ041PLD7,6005,8TQV01A,5051_8TQV01A_PCM_18P7,4.693769,-0.700786,2.334753
3,2,W5169080,41,07/13/2025 5:31:37 AM,HFBPJ041PLD7,6005,8TQV01A,5051_8TQV01A_PCM_18P7,4.727309,-0.6888806,2.352909
-2,2,W5169080,41,07/13/2025 5:31:37 AM,HFBPJ041PLD7,6005,8TQV01A,5051_8TQV01A_PCM_18P7,4.726566,-0.7015899,2.356942
-4,0,W5169080,41,07/13/2025 5:31:37 AM,HFBPJ041PLD7,6005,8TQV01A,5051_8TQV01A_PCM_18P7,4.601369,-0.6889723,2.306088
